id,brand_name,model,screen_size,price,release_year,operating_system,battery_capacity,ram,storage,camera_mp,front_camera_mp,refresh_rate,weight,thickness,body_material,chipset,gpu,dual_sim,network_support,bluetooth_version,wifi_version,usb_type,fast_charging,fingerprint_sensor
3213,Apple,iPhone 13,5.86,61613,2023,iOS,5751,4,512,12,16,144,165,9.1,Metal,Dimensity 9000,Mali-G710,No,4G,5.1,WiFi 6E,Type-C,33,Yes
3214,Apple,iPhone 15,5.1,127917,2017,iOS,4457,8,256,48,8,90,217,9.2,Glass,Dimensity 9000,Apple GPU,No,5G,5.1,WiFi 6E,Type-C,18,No
3215,Samsung,Galaxy Note 20,7.07,56485,2019,Android,4988,4,512,12,16,120,162,9.0,Glass,Snapdragon 8 Gen 2,Adreno 740,No,4G,5.0,WiFi 5,Type-C,120,Yes
3216,Oppo,Oppo Reno 9,6.85,45044,2018,Android,3816,8,128,48,32,120,214,8.2,Glass,Apple A16,Adreno 740,No,4G,5.2,WiFi 6E,Type-C,33,No
3217,Realme,Realme 11 Pro,6.83,59033,2020,Android,4810,12,128,48,16,144,188,8.3,Glass,Dimensity 9000,Mali-G710,Yes,4G,5.0,WiFi 6,Type-C,67,Yes
3218,Samsung,Galaxy S21,5.97,15210,2018,Android,5926,12,64,48,32,60,227,8.4,Metal,Apple A16,Mali-G710,Yes,4G,5.0,WiFi 6,Type-C,18,Yes
3219,Google,Pixel 6,6.66,47691,2025,Android,3161,6,64,12,8,144,183,8.5,Plastic,Snapdragon 8 Gen 2,Adreno 740,No,5G,5.0,WiFi 6E,Type-C,67,Yes
3220,Motorola,Moto Edge 50,6.76,11065,2015,Android,4192,6,64,12,32,60,188,9.0,Glass,Dimensity 9000,Adreno 740,Yes,5G,5.2,WiFi 6,Type-C,67,No
3221,Apple,iPhone 12,5.21,137869,2021,iOS,5262,4,128,12,8,90,162,9.4,Plastic,Dimensity 9000,Apple GPU,Yes,4G,5.0,WiFi 5,Type-C,18,No
3222,Vivo,Vivo Y75,7.07,48938,2016,Android,4190,12,512,64,8,90,184,7.0,Metal,Apple A16,Mali-G710,Yes,5G,5.1,WiFi 5,Type-C,120,No
3223,Xiaomi,Redmi Note 12,5.9,40991,2021,Android,3193,6,512,108,8,120,231,8.0,Plastic,Dimensity 9000,Adreno 740,No,4G,5.1,WiFi 6E,Type-C,120,Yes
3224,Samsung,Galaxy A15,6.37,46738,2022,Android,4119,6,64,48,16,60,192,6.6,Metal,Snapdragon 8 Gen 2,Adreno 740,No,5G,5.0,WiFi 5,Type-C,18,Yes
3225,Motorola,Moto Edge 40,6.23,9295,2018,Android,4051,8,128,48,32,90,218,9.1,Glass,Apple A16,Adreno 740,Yes,4G,5.2,WiFi 6,Type-C,67,No
3226,Vivo,Vivo X80,6.21,35627,2016,Android,4232,6,256,108,8,144,175,9.0,Metal,Snapdragon 8 Gen 2,Adreno 740,No,5G,5.1,WiFi 6,Type-C,18,Yes
3227,Nokia,Nokia X30,7.2,29071,2021,Android,3744,4,256,48,8,120,173,6.5,Plastic,Snapdragon 8 Gen 2,Adreno 740,No,4G,5.2,WiFi 6E,Type-C,18,No
3228,OnePlus,OnePlus 9,7.03,16804,2020,Android,4323,8,64,64,8,90,187,7.6,Glass,Dimensity 9000,Adreno 740,No,4G,5.0,WiFi 6E,Type-C,120,No
3229,Google,Pixel 6,6.52,11758,2024,Android,5079,4,512,64,8,90,150,8.3,Plastic,Dimensity 9000,Adreno 740,Yes,4G,5.2,WiFi 5,Type-C,33,Yes
3230,Nokia,Nokia G21,6.67,50296,2025,Android,3963,12,512,48,32,120,190,8.4,Glass,Apple A16,Apple GPU,Yes,5G,5.2,WiFi 5,Type-C,120,Yes
3231,Oppo,Oppo Find X5,6.51,50300,2019,Android,3429,8,256,48,16,60,198,7.0,Metal,Snapdragon 8 Gen 2,Adreno 740,Yes,4G,5.0,WiFi 5,Type-C,18,No
3232,Motorola,Moto G84,7.09,43614,2015,Android,5616,8,256,48,16,144,231,7.9,Glass,Dimensity 9000,Adreno 740,No,4G,5.1,WiFi 6,Type-C,120,Yes
3233,OnePlus,Nord CE 2,6.84,55830,2018,Android,3068,4,64,12,16,90,162,7.9,Glass,Apple A16,Adreno 740,Yes,5G,5.0,WiFi 6,Type-C,120,No
3234,Xiaomi,Redmi Note 11,5.29,44334,2022,Android,5677,6,128,108,16,120,195,6.8,Plastic,Dimensity 9000,Adreno 740,No,5G,5.1,WiFi 6E,Type-C,33,No
3235,Realme,Realme GT Neo 3,6.22,49382,2023,Android,3657,4,64,108,16,144,210,7.3,Plastic,Snapdragon 8 Gen 2,Adreno 740,No,4G,5.0,WiFi 6,Type-C,18,No
3236,Samsung,Galaxy Note 20,5.95,117151,2025,Android,5763,8,64,12,8,90,169,6.6,Glass,Snapdragon 8 Gen 2,Mali-G710,Yes,5G,5.2,WiFi 5,Type-C,18,Yes
3237,Google,Pixel 6,5.77,8706,2015,Android,3997,8,256,108,32,90,205,6.8,Glass,Dimensity 9000,Adreno 740,Yes,4G,5.2,WiFi 5,Type-C,33,No
3238,Vivo,Vivo Y75,6.68,32467,2018,Android,5046,12,64,64,16,144,205,7.3,Glass,Dimensity 9000,Adreno 740,No,5G,5.0,WiFi 5,Type-C,67,Yes
3239,Apple,iPhone 13,6.46,137913,2017,iOS,3608,4,512,12,32,60,193,9.0,Metal,Dimensity 9000,Apple GPU,Yes,5G,5.1,WiFi 5,Type-C,120,Yes
3240,Google,Pixel 9,6.11,18605,2024,Android,5916,12,64,64,32,90,161,8.1,Plastic,Snapdragon 8 Gen 2,Mali-G710,Yes,4G,5.1,WiFi 6E,Type-C,67,No
3241,Google,Pixel 9,5.92,36002,2018,Android,5103,8,128,64,8,120,157,6.5,Glass,Snapdragon 8 Gen 2,Adreno 740,Yes,5G,5.1,WiFi 6,Type-C,18,Yes
3242,Oppo,Oppo Find X5,5.32,35095,2020,Android,4728,8,256,12,8,120,206,8.2,Plastic,Snapdragon 8 Gen 2,Apple GPU,No,5G,5.2,WiFi 6,Type-C,18,No
3243,Google,Pixel 6,5.56,51739,2023,Android,4302,6,256,12,8,90,181,7.8,Glass,Dimensity 9000,Apple GPU,No,5G,5.0,WiFi 5,Type-C,67,Yes
3244,Oppo,Oppo Reno 8,5.38,6098,2021,Android,4840,4,128,108,8,60,236,8.3,Metal,Dimensity 9000,Adreno 740,Yes,5G,5.0,WiFi 5,Type-C,18,Yes
3245,OnePlus,OnePlus 9,5.48,34104,2017,Android,4493,8,256,108,32,120,228,6.7,Glass,Apple A16,Apple GPU,Yes,4G,5.2,WiFi 6,Type-C,18,Yes
3246,Nokia,Nokia G21,6.58,30548,2015,Android,4726,4,512,12,16,144,166,7.1,Metal,Snapdragon 8 Gen 2,Mali-G710,No,4G,5.1,WiFi 6E,Type-C,120,No
3247,Vivo,Vivo X80,5.95,9567,2023,Android,3633,4,256,12,32,60,210,7.9,Plastic,Apple A16,Adreno 740,Yes,4G,5.0,WiFi 5,Type-C,18,Yes
3248,Vivo,Vivo V25,5.47,45287,2018,Android,5228,8,256,108,8,120,201,7.7,Glass,Apple A16,Apple GPU,No,4G,5.2,WiFi 6E,Type-C,67,No
3249,Realme,Realme GT Neo 3,6.16,38370,2019,Android,5695,8,256,64,8,60,187,8.5,Plastic,Snapdragon 8 Gen 2,Apple GPU,Yes,5G,5.2,WiFi 6,Type-C,120,No
3250,Nokia,Nokia G21,6.21,47799,2016,Android,5878,6,256,64,8,60,234,8.7,Metal,Apple A16,Mali-G710,No,4G,5.2,WiFi 5,Type-C,120,Yes
3251,Vivo,Vivo X80,7.0,28412,2024,Android,3648,6,128,12,8,120,207,7.5,Glass,Apple A16,Apple GPU,Yes,5G,5.2,WiFi 5,Type-C,18,Yes
3252,Realme,Realme 11 Pro,5.15,20650,2025,Android,3864,6,128,108,16,90,225,7.8,Glass,Dimensity 9000,Adreno 740,No,5G,5.0,WiFi 5,Type-C,120,Yes
3253,Motorola,Moto G73,5.24,55758,2023,Android,5876,12,256,48,32,144,175,8.8,Glass,Dimensity 9000,Mali-G710,Yes,4G,5.0,WiFi 5,Type-C,18,No
3254,Google,Pixel 8,5.04,19937,2019,Android,5777,4,64,64,16,60,169,6.8,Glass,Apple A16,Adreno 740,Yes,5G,5.1,WiFi 6,Type-C,120,No
3255,Xiaomi,Redmi Note 12,6.04,24791,2021,Android,3398,4,64,12,32,120,178,7.4,Metal,Dimensity 9000,Apple GPU,No,5G,5.1,WiFi 6,Type-C,67,Yes
3256,Apple,iPhone 11,5.01,122140,2016,iOS,3884,6,128,108,8,144,180,8.1,Plastic,Dimensity 9000,Mali-G710,Yes,4G,5.2,WiFi 6E,Type-C,67,Yes
3257,Apple,iPhone 11,6.87,115692,2023,iOS,4061,4,512,48,8,90,199,7.4,Plastic,Snapdragon 8 Gen 2,Adreno 740,No,4G,5.1,WiFi 6E,Type-C,18,Yes
3258,OnePlus,OnePlus 9,5.38,38555,2024,Android,3158,8,128,108,8,120,175,6.8,Plastic,Dimensity 9000,Mali-G710,No,4G,5.0,WiFi 6,Type-C,18,Yes
3259,OnePlus,Nord CE 3,6.22,25203,2019,Android,5184,8,128,64,8,120,224,7.4,Plastic,Apple A16,Adreno 740,Yes,4G,5.2,WiFi 6E,Type-C,120,Yes
3260,Samsung,Galaxy S22,5.52,54335,2020,Android,4685,4,128,64,32,144,165,9.3,Glass,Snapdragon 8 Gen 2,Mali-G710,No,5G,5.0,WiFi 6E,Type-C,67,Yes
3261,Xiaomi,Mi 12,7.01,28337,2022,Android,4938,4,512,12,32,120,229,7.5,Metal,Apple A16,Apple GPU,No,4G,5.1,WiFi 6,Type-C,67,No
3262,Motorola,Moto Edge 40,5.49,10912,2021,Android,4219,4,128,48,8,60,177,7.4,Plastic,Dimensity 9000,Apple GPU,No,4G,5.1,WiFi 5,Type-C,120,No
3263,Nokia,Nokia X30,6.77,40243,2025,Android,4849,12,64,12,32,120,155,9.2,Plastic,Apple A16,Adreno 740,No,4G,5.1,WiFi 6E,Type-C,120,No
3264,OnePlus,OnePlus 9,5.96,39900,2017,Android,4405,8,512,12,16,120,181,7.2,Metal,Snapdragon 8 Gen 2,Apple GPU,Yes,5G,5.0,WiFi 6E,Type-C,67,No
3265,Xiaomi,Redmi Note 11,6.36,7820,2020,Android,4305,8,128,12,8,144,170,8.8,Glass,Snapdragon 8 Gen 2,Apple GPU,Yes,4G,5.1,WiFi 6E,Type-C,18,Yes
3266,Oppo,Oppo Reno 8,5.59,16183,2018,Android,3610,6,256,64,16,90,201,8.4,Glass,Dimensity 9000,Mali-G710,No,5G,5.2,WiFi 6E,Type-C,120,Yes
3267,Vivo,Vivo X80,6.34,57520,2016,Android,5689,6,64,64,16,90,154,6.6,Plastic,Snapdragon 8 Gen 2,Mali-G710,No,4G,5.1,WiFi 6E,Type-C,120,No
3268,Nokia,Nokia G21,5.2,48891,2021,Android,4570,12,64,48,16,144,153,6.7,Metal,Snapdragon 8 Gen 2,Adreno 740,Yes,4G,5.2,WiFi 6E,Type-C,33,Yes
3269,Xiaomi,Mi 12,5.93,54019,2016,Android,3344,6,256,12,16,90,205,6.9,Glass,Apple A16,Mali-G710,No,5G,5.0,WiFi 5,Type-C,18,Yes
3270,OnePlus,Nord CE 3,5.27,49936,2024,Android,3499,8,64,64,32,144,225,8.1,Metal,Dimensity 9000,Apple GPU,Yes,4G,5.1,WiFi 6E,Type-C,18,No
3271,Oppo,Oppo Find X5,5.09,45993,2024,Android,5992,12,256,48,8,144,229,9.0,Plastic,Snapdragon 8 Gen 2,Mali-G710,No,5G,5.0,WiFi 5,Type-C,120,No
3272,OnePlus,Nord CE 3,6.07,58466,2016,Android,5148,8,256,64,8,144,224,7.8,Metal,Apple A16,Mali-G710,No,4G,5.1,WiFi 6,Type-C,18,No
3273,Apple,iPhone 13,5.34,104230,2024,iOS,4884,4,128,64,32,120,175,9.1,Plastic,Dimensity 9000,Mali-G710,No,5G,5.2,WiFi 5,Type-C,120,No
3274,Motorola,Moto G84,7.09,40790,2022,Android,4444,8,512,12,8,90,163,7.6,Metal,Dimensity 9000,Adreno 740,Yes,4G,5.2,WiFi 6,Type-C,18,No
3275,Samsung,Galaxy S23,5.05,46885,2021,Android,5570,12,512,64,8,144,192,8.7,Plastic,Dimensity 9000,Mali-G710,Yes,4G,5.1,WiFi 5,Type-C,18,Yes
3276,Realme,Narzo 60x,7.14,12313,2017,Android,4690,4,256,12,16,90,208,8.4,Plastic,Snapdragon 8 Gen 2,Apple GPU,No,5G,5.0,WiFi 6,Type-C,67,No
3277,Oppo,Oppo Find X5,6.9,24481,2017,Android,3045,4,512,48,16,60,159,9.1,Plastic,Dimensity 9000,Apple GPU,Yes,5G,5.0,WiFi 6,Type-C,120,Yes
3278,OnePlus,Nord CE 3,6.01,38442,2019,Android,3556,12,256,12,8,90,155,8.3,Metal,Dimensity 9000,Apple GPU,Yes,5G,5.2,WiFi 5,Type-C,33,Yes
3279,OnePlus,OnePlus 10,6.9,47233,2021,Android,5878,12,512,64,16,90,208,7.8,Metal,Snapdragon 8 Gen 2,Adreno 740,Yes,4G,5.1,WiFi 6E,Type-C,67,Yes
3280,Nokia,Nokia G22,5.13,16523,2018,Android,4473,4,128,48,32,144,217,8.2,Metal,Dimensity 9000,Apple GPU,Yes,4G,5.1,WiFi 6E,Type-C,120,Yes
3281,Apple,iPhone 15,6.39,129473,2020,iOS,5210,6,128,108,16,144,169,9.3,Plastic,Snapdragon 8 Gen 2,Mali-G710,No,5G,5.1,WiFi 5,Type-C,120,Yes
3282,Nokia,Nokia G22,6.36,55285,2025,Android,4528,8,128,48,32,60,190,8.2,Metal,Apple A16,Mali-G710,No,5G,5.1,WiFi 6,Type-C,33,No
3283,Oppo,Oppo Reno 8,5.74,57901,2020,Android,3001,6,128,64,16,90,172,8.9,Glass,Dimensity 9000,Mali-G710,Yes,5G,5.1,WiFi 5,Type-C,18,No
3284,OnePlus,OnePlus 10,5.06,47952,2020,Android,4483,12,128,12,32,60,204,7.6,Glass,Dimensity 9000,Adreno 740,No,5G,5.1,WiFi 6E,Type-C,33,Yes
3285,Vivo,Vivo V27,6.82,16145,2023,Android,5616,4,512,108,16,60,151,9.2,Plastic,Dimensity 9000,Adreno 740,Yes,5G,5.2,WiFi 6,Type-C,33,No
3286,OnePlus,Nord CE 3,6.51,34662,2022,Android,4495,8,128,12,8,144,158,7.4,Plastic,Snapdragon 8 Gen 2,Mali-G710,Yes,5G,5.0,WiFi 5,Type-C,18,Yes
3287,Samsung,Galaxy S21,5.98,37277,2018,Android,5373,12,256,12,32,90,200,8.1,Metal,Snapdragon 8 Gen 2,Adreno 740,No,5G,5.2,WiFi 6,Type-C,33,Yes
3288,Samsung,Galaxy S22,6.92,33561,2019,Android,4851,4,64,12,16,120,210,8.2,Metal,Apple A16,Mali-G710,No,5G,5.2,WiFi 6E,Type-C,120,No
3289,Samsung,Galaxy Note 20,5.58,47188,2023,Android,5888,12,64,12,16,144,204,8.4,Glass,Apple A16,Mali-G710,No,5G,5.2,WiFi 5,Type-C,33,No
3290,Oppo,Oppo F21,6.9,20055,2021,Android,4115,4,64,12,32,90,150,8.6,Plastic,Dimensity 9000,Adreno 740,No,5G,5.1,WiFi 5,Type-C,67,No
3291,Motorola,Moto G73,6.53,25866,2016,Android,3839,12,64,48,8,120,230,7.9,Plastic,Dimensity 9000,Apple GPU,No,5G,5.1,WiFi 6E,Type-C,33,No
3292,Realme,Narzo 60x,5.46,24033,2015,Android,4862,12,512,64,16,90,164,6.7,Glass,Dimensity 9000,Mali-G710,Yes,4G,5.2,WiFi 6,Type-C,120,No
3293,Oppo,Oppo Reno 9,6.43,39084,2019,Android,3657,12,256,108,32,60,214,9.4,Metal,Dimensity 9000,Adreno 740,No,4G,5.1,WiFi 5,Type-C,120,No
3294,Xiaomi,Redmi Note 11,7.1,16017,2016,Android,4839,6,128,108,8,90,227,8.3,Glass,Snapdragon 8 Gen 2,Adreno 740,No,5G,5.2,WiFi 6,Type-C,33,Yes
3295,Motorola,Moto Edge 50,6.32,25340,2021,Android,4327,12,128,64,8,120,210,7.9,Glass,Apple A16,Mali-G710,No,4G,5.2,WiFi 6,Type-C,120,No
3296,Oppo,Oppo F21,6.23,31718,2017,Android,5375,8,512,64,16,120,179,7.5,Metal,Dimensity 9000,Mali-G710,Yes,4G,5.0,WiFi 6E,Type-C,33,Yes
3297,Motorola,Moto Edge 50,6.06,40776,2023,Android,5558,4,64,108,32,60,151,9.4,Glass,Dimensity 9000,Mali-G710,No,4G,5.0,WiFi 6,Type-C,18,No
3298,Apple,iPhone 15,5.09,62193,2024,iOS,3781,8,512,64,8,144,233,8.0,Glass,Apple A16,Mali-G710,No,4G,5.2,WiFi 6,Type-C,33,Yes
3299,Oppo,Oppo Find X5,6.72,34961,2022,Android,5452,8,128,108,32,120,192,8.3,Metal,Snapdragon 8 Gen 2,Mali-G710,Yes,4G,5.1,WiFi 6,Type-C,67,No
3300,Motorola,Moto Edge 50,5.61,24100,2015,Android,5407,12,256,12,16,90,159,9.4,Glass,Dimensity 9000,Apple GPU,Yes,4G,5.2,WiFi 6E,Type-C,18,No
3301,Xiaomi,Mi 11,5.45,45799,2022,Android,3392,6,64,108,8,60,176,9.4,Glass,Snapdragon 8 Gen 2,Mali-G710,Yes,5G,5.2,WiFi 6E,Type-C,67,Yes
3302,Realme,Narzo 50,5.23,52555,2017,Android,5597,4,512,64,16,90,169,9.2,Metal,Apple A16,Adreno 740,No,5G,5.0,WiFi 6E,Type-C,18,No
3303,Xiaomi,Mi 11,5.93,28945,2023,Android,3490,8,64,48,32,144,159,7.7,Metal,Apple A16,Mali-G710,No,5G,5.2,WiFi 6E,Type-C,33,No
3304,Realme,Realme 11 Pro,6.33,48423,2020,Android,5127,8,256,108,32,144,186,9.1,Glass,Snapdragon 8 Gen 2,Apple GPU,Yes,4G,5.1,WiFi 5,Type-C,120,No
3305,Realme,Narzo 50,5.27,14629,2023,Android,3345,12,256,12,32,144,198,8.3,Glass,Dimensity 9000,Mali-G710,Yes,5G,5.2,WiFi 6,Type-C,67,Yes
3306,OnePlus,OnePlus 9,6.88,28538,2023,Android,5497,12,128,12,32,120,213,6.7,Glass,Dimensity 9000,Adreno 740,No,4G,5.2,WiFi 5,Type-C,67,Yes
3307,Xiaomi,Mi 11,6.69,20729,2016,Android,5429,12,128,64,16,120,214,8.0,Plastic,Dimensity 9000,Apple GPU,Yes,4G,5.1,WiFi 6,Type-C,120,Yes
3308,Motorola,Moto G84,5.92,39864,2021,Android,3277,8,128,48,32,120,160,7.4,Plastic,Dimensity 9000,Mali-G710,Yes,4G,5.2,WiFi 6E,Type-C,33,Yes
3309,Vivo,Vivo V25,6.41,11207,2016,Android,5119,8,512,48,32,60,208,6.6,Glass,Dimensity 9000,Adreno 740,Yes,4G,5.0,WiFi 6,Type-C,120,Yes
3310,Samsung,Galaxy A15,5.08,83353,2022,Android,5349,4,512,64,8,90,196,7.5,Plastic,Snapdragon 8 Gen 2,Adreno 740,No,4G,5.1,WiFi 5,Type-C,33,Yes
3311,Google,Pixel 7,6.68,36264,2022,Android,4780,8,512,108,16,90,157,7.5,Metal,Dimensity 9000,Mali-G710,Yes,4G,5.2,WiFi 6,Type-C,18,No
3312,Realme,Narzo 60x,5.5,30784,2018,Android,5030,6,512,64,16,144,238,7.8,Glass,Apple A16,Adreno 740,Yes,5G,5.1,WiFi 6,Type-C,33,Yes
3313,Xiaomi,Mi 11,7.1,30746,2015,Android,5989,12,128,64,8,90,195,7.0,Plastic,Snapdragon 8 Gen 2,Adreno 740,No,5G,5.0,WiFi 5,Type-C,67,No
3314,OnePlus,OnePlus 10,7.0,17607,2015,Android,4275,4,128,64,8,90,213,8.1,Plastic,Snapdragon 8 Gen 2,Mali-G710,Yes,4G,5.1,WiFi 6E,Type-C,120,No
3315,Xiaomi,Mi 11,5.93,44918,2025,Android,3170,4,64,48,16,144,225,8.6,Metal,Apple A16,Adreno 740,No,4G,5.0,WiFi 6,Type-C,67,No
3316,Motorola,Moto G73,6.77,47503,2015,Android,5116,6,512,64,32,120,237,7.3,Plastic,Snapdragon 8 Gen 2,Adreno 740,No,5G,5.1,WiFi 5,Type-C,120,No
3317,OnePlus,OnePlus 11,5.98,19004,2017,Android,5808,8,64,48,8,120,240,6.7,Metal,Snapdragon 8 Gen 2,Mali-G710,No,5G,5.1,WiFi 6,Type-C,67,No
3318,Oppo,Oppo F21,5.88,34653,2025,Android,4443,6,256,12,32,144,189,8.8,Plastic,Snapdragon 8 Gen 2,Apple GPU,No,4G,5.1,WiFi 6E,Type-C,67,Yes
3319,Xiaomi,Redmi Note 12,5.07,50747,2019,Android,5472,12,64,64,32,144,209,7.3,Glass,Snapdragon 8 Gen 2,Apple GPU,Yes,5G,5.1,WiFi 6,Type-C,67,No
3320,Google,Pixel 7,6.21,46328,2016,Android,3552,6,256,108,8,60,210,8.6,Glass,Dimensity 9000,Apple GPU,Yes,4G,5.2,WiFi 6,Type-C,67,Yes
3321,Nokia,Nokia G21,7.04,59617,2025,Android,4452,4,128,12,32,60,180,7.8,Metal,Dimensity 9000,Apple GPU,No,5G,5.0,WiFi 5,Type-C,120,No
3322,OnePlus,Nord CE 2,7.0,55325,2024,Android,4988,4,512,108,16,120,212,7.6,Metal,Snapdragon 8 Gen 2,Adreno 740,Yes,4G,5.2,WiFi 5,Type-C,18,Yes
3323,Nokia,Nokia X30,7.03,21347,2020,Android,5963,8,64,12,16,120,159,9.0,Glass,Snapdragon 8 Gen 2,Mali-G710,No,5G,5.1,WiFi 6,Type-C,67,Yes
3324,Realme,Realme 11 Pro,5.51,7619,2020,Android,3814,8,512,12,16,120,176,7.7,Plastic,Apple A16,Adreno 740,Yes,4G,5.2,WiFi 5,Type-C,67,Yes
3325,Xiaomi,Redmi Note 12,5.46,11883,2020,Android,3529,12,128,108,8,60,215,6.8,Glass,Snapdragon 8 Gen 2,Mali-G710,No,4G,5.0,WiFi 6,Type-C,18,No
3326,Motorola,Moto Edge 40,7.12,6155,2019,Android,3780,12,512,64,8,120,177,6.9,Glass,Apple A16,Apple GPU,No,4G,5.2,WiFi 6,Type-C,33,Yes
3327,Xiaomi,Redmi Note 12,6.94,57273,2021,Android,4379,12,256,64,16,120,180,9.1,Metal,Snapdragon 8 Gen 2,Mali-G710,Yes,4G,5.0,WiFi 5,Type-C,120,No
3328,Xiaomi,Redmi Note 12,6.3,5894,2021,Android,5729,8,256,12,32,90,210,8.0,Glass,Snapdragon 8 Gen 2,Adreno 740,Yes,5G,5.1,WiFi 5,Type-C,67,Yes
3329,Vivo,Vivo X80,5.2,48577,2020,Android,4839,4,256,64,8,90,183,9.0,Metal,Snapdragon 8 Gen 2,Adreno 740,Yes,5G,5.1,WiFi 6E,Type-C,120,No
3330,Nokia,Nokia G21,6.23,34137,2024,Android,3713,8,512,48,16,60,160,7.2,Metal,Apple A16,Mali-G710,No,4G,5.0,WiFi 6E,Type-C,33,No
3331,Oppo,Oppo Reno 9,6.55,15004,2021,Android,3809,8,128,108,16,120,207,8.5,Metal,Dimensity 9000,Apple GPU,Yes,5G,5.0,WiFi 6E,Type-C,120,Yes
3332,Nokia,Nokia G21,5.26,8307,2016,Android,5351,4,256,48,32,144,228,8.4,Metal,Snapdragon 8 Gen 2,Adreno 740,No,5G,5.2,WiFi 6,Type-C,18,No
3333,Apple,iPhone 11,5.65,138091,2016,iOS,4271,8,256,48,8,90,207,8.8,Plastic,Apple A16,Adreno 740,Yes,4G,5.1,WiFi 6,Type-C,67,Yes
3334,Realme,Narzo 50,6.47,58800,2019,Android,4276,12,256,48,16,120,200,7.6,Glass,Apple A16,Apple GPU,Yes,5G,5.0,WiFi 5,Type-C,120,Yes
3335,Nokia,Nokia X30,6.08,58246,2022,Android,3817,4,256,108,16,90,222,7.1,Plastic,Snapdragon 8 Gen 2,Mali-G710,No,5G,5.0,WiFi 6,Type-C,120,Yes
3336,Oppo,Oppo Reno 9,5.3,47960,2023,Android,3366,12,64,108,16,60,227,9.3,Metal,Apple A16,Apple GPU,Yes,5G,5.0,WiFi 6E,Type-C,120,No
3337,Nokia,Nokia G21,5.48,26564,2019,Android,5740,12,512,64,8,90,166,8.0,Glass,Snapdragon 8 Gen 2,Adreno 740,Yes,5G,5.0,WiFi 6E,Type-C,18,No
3338,Nokia,Nokia G21,5.31,57384,2021,Android,5160,8,512,108,8,60,220,6.8,Plastic,Dimensity 9000,Mali-G710,No,5G,5.2,WiFi 6E,Type-C,33,No
3339,Google,Pixel 7,6.53,38149,2025,Android,5495,6,256,64,16,144,175,7.1,Plastic,Dimensity 9000,Apple GPU,Yes,4G,5.2,WiFi 5,Type-C,33,No
3340,Xiaomi,Redmi Note 13,6.7,8734,2017,Android,4748,12,256,12,8,120,225,8.7,Metal,Apple A16,Adreno 740,No,4G,5.2,WiFi 5,Type-C,120,No
3341,Motorola,Moto Edge 40,5.33,7728,2015,Android,4041,8,512,64,16,90,172,7.5,Plastic,Snapdragon 8 Gen 2,Apple GPU,Yes,5G,5.0,WiFi 5,Type-C,120,Yes
3342,Realme,Realme 11 Pro,6.09,45610,2025,Android,4658,4,256,12,16,90,208,7.1,Metal,Apple A16,Mali-G710,No,5G,5.0,WiFi 6E,Type-C,18,No
3343,Xiaomi,Mi 11,6.38,56831,2021,Android,5890,4,64,64,16,144,198,7.4,Metal,Snapdragon 8 Gen 2,Mali-G710,Yes,5G,5.0,WiFi 6E,Type-C,33,Yes
3344,Motorola,Moto Edge 40,5.77,55581,2025,Android,3505,12,512,48,8,144,202,8.2,Plastic,Snapdragon 8 Gen 2,Apple GPU,Yes,4G,5.2,WiFi 6,Type-C,33,Yes
3345,Vivo,Vivo Y75,6.77,40275,2022,Android,3299,12,512,64,8,60,218,9.5,Metal,Apple A16,Apple GPU,Yes,4G,5.2,WiFi 6,Type-C,67,Yes
3346,Samsung,Galaxy S21,5.75,65273,2023,Android,3823,12,512,108,8,90,226,9.1,Plastic,Dimensity 9000,Apple GPU,Yes,5G,5.1,WiFi 6,Type-C,33,No
3347,Motorola,Moto Edge 40,6.16,37066,2024,Android,3936,12,512,108,8,60,157,7.3,Glass,Dimensity 9000,Apple GPU,Yes,5G,5.1,WiFi 6E,Type-C,120,Yes
3348,Realme,Realme 11 Pro,5.03,25380,2018,Android,4298,4,128,48,8,144,175,9.4,Plastic,Dimensity 9000,Adreno 740,Yes,5G,5.0,WiFi 6E,Type-C,18,Yes
3349,OnePlus,OnePlus 11,5.85,48130,2019,Android,3680,12,512,108,16,120,186,6.7,Metal,Apple A16,Adreno 740,Yes,4G,5.2,WiFi 6,Type-C,120,Yes
3350,Oppo,Oppo Reno 9,5.04,33636,2025,Android,3819,8,256,108,32,90,236,9.1,Metal,Snapdragon 8 Gen 2,Apple GPU,No,5G,5.1,WiFi 6,Type-C,120,No
3351,Samsung,Galaxy Note 20,6.06,116320,2021,Android,4885,12,128,12,32,120,160,7.5,Metal,Dimensity 9000,Adreno 740,Yes,5G,5.0,WiFi 6E,Type-C,67,Yes
3352,Apple,iPhone 14,5.9,123230,2016,iOS,4793,8,256,64,16,120,157,7.4,Glass,Snapdragon 8 Gen 2,Mali-G710,No,4G,5.1,WiFi 6,Type-C,67,No
3353,Google,Pixel 6,5.58,56156,2020,Android,5691,12,128,12,16,60,215,9.3,Metal,Snapdragon 8 Gen 2,Mali-G710,Yes,4G,5.0,WiFi 6E,Type-C,33,Yes
3354,Vivo,Vivo V25,6.33,46380,2016,Android,5875,12,64,108,8,144,191,7.1,Plastic,Dimensity 9000,Adreno 740,Yes,4G,5.0,WiFi 6,Type-C,33,No
